state,protocol,fold,train_domain,eval_domain,kind,tile,n_pos,n_neg,auc,ap,bfe,panel_scale,elev,hand,imperv,water
VT,shadedX,0,AE,AE,ID,36_51,568,124,0.801879827351204,0.9439281788891272,2.7378647473443487,6000.0,157.2481689453125,1.9500045776367188,0.0,0.0
VT,shadedX,0,AE,AE,ID,37_48,264,56,0.7404626623376624,0.9233549761699578,2.0980755805239,6000.0,101.58300399780273,0.5,0.0,0.060555555555560456
VT,shadedX,1,A,A,ID,36_48,211,33,0.9419790320264254,0.989839877283873,2.966575696441484,12000.0,260.706298828125,1.79998779296875,0.0,0.0005555555555414153
VT,shadedX,1,A,A,ID,36_50,1469,111,0.8620131363494195,0.9859950645929718,1.2456999735442347,12000.0,149.40851593017578,1.4000091552734375,0.0,0.0
VT,shadedX,1,A,A,ID,37_51,222,46,0.677536231884058,0.852978294371334,2.7378647473443487,12000.0,282.32676696777344,2.2499923706054688,0.0,0.0
VT,shadedX,1,A,A,ID,37_52,405,26,0.928395061728395,0.9947045040984623,2.7378647473443487,12000.0,347.49371337890625,1.5999755859375,0.0,0.0
VT,shadedX,1,A,AE,OOD,36_48,183,37,0.7289912863683355,0.9288772387888724,2.966575696441484,6000.0,174.66514587402344,2.0499954223632812,0.0,0.0011111111110828306
VT,shadedX,1,A,AE,OOD,36_50,755,113,0.5311609916192932,0.8833392484603324,1.2456999735442347,6000.0,161.92178344726562,2.5,0.0,0.0016666666665636131
VT,shadedX,1,A,AE,OOD,37_51,299,46,0.27446561000436237,0.7621988572119325,0.8394054991673486,12000.0,168.65890502929688,2.2999954223632812,0.0,0.001111111111113147
VT,shadedX,1,A,AE,OOD,37_52,117,27,0.6435580880025324,0.8775003515892804,3.35983104765846,6000.0,245.92552947998047,1.0,0.0,0.0
VT,shadedX,1,AE,A,OOD,36_48,211,33,0.7538417348843889,0.952015764119364,2.966575696441484,12000.0,260.706298828125,1.79998779296875,0.0,0.0005555555555414153
VT,shadedX,1,AE,A,OOD,36_50,1469,111,0.6160101558331647,0.9588645065237077,1.2456999735442347,12000.0,149.40851593017578,1.4000091552734375,0.0,0.0
