state,protocol,fold,train_domain,eval_domain,kind,tile,n_pos,n_neg,auc,ap,bfe,panel_scale,elev,hand,imperv,water
CO,band,0,AE,A,OOD,-16_36,84,311,0.9905833716123106,0.9590248971492722,1.8972700132404465,6000.0,2232.51806640625,28.0,0.0,0.0
CO,band,0,AE,A,OOD,-18_37,100,211,0.9897156398104265,0.9754231070246758,1.4738408079160736,6000.0,2954.24853515625,41.10009765625,0.0,0.0
CO,band,0,AE,A,OOD,-19_37,72,216,0.9985210905349795,0.9952964341629139,2.742322162871958,6000.0,2453.02099609375,44.550048828125,0.0,0.0
CO,band,0,AE,A,OOD,-20_32,111,292,0.9940762680488707,0.9747768563116609,0.8200771853291582,12000.0,2218.86083984375,31.39990234375,0.0,0.0
CO,band,0,AE,A,OOD,-20_36,52,118,1.0,1.0,2.9405562386278166,12000.0,2094.106201171875,35.550048828125,0.0,0.0
CO,band,0,AE,A,OOD,-20_38,49,84,0.9990281827016521,0.9984061128375998,0.019068590551404925,12000.0,2263.533203125,21.0999755859375,0.0,0.0
CO,band,0,AE,AE,ID,-11_33,336,40,0.9592261904761905,0.9940485996623775,0.5340172771990488,12000.0,1056.0014038085938,1.0,0.0,0.0
CO,band,0,AE,AE,ID,-14_36,41,66,0.9301552106430155,0.8996069607388724,1.8972700132404465,24000.0,1745.984375,4.0,0.0,0.0
CO,band,0,AE,AE,ID,-15_32,56,75,0.9883333333333333,0.9835531042218251,0.26492988682649626,24000.0,1804.202880859375,4.0999755859375,0.0,0.0
CO,band,0,AE,AE,ID,-15_34,558,647,0.9864054112446196,0.9869351161240805,0.6992865332940402,12000.0,1453.62548828125,3.4000244140625,0.0,0.0
CO,band,0,AE,AE,ID,-15_37,689,934,0.9863533097341832,0.974817547298654,2.618682738577198,12000.0,1714.9801025390625,4.5999755859375,0.0,0.0
CO,band,0,AE,AE,ID,-15_38,1082,738,0.9725202751103297,0.9798138550323716,0.4985742665666153,12000.0,1517.80126953125,2.0999755859375,0.0,0.0
CO,band,0,AE,AE,ID,-16_34,244,215,0.9866183759054518,0.9896463804193101,0.6992865332940402,12000.0,1584.3172607421875,3.89990234375,0.0,0.0
CO,band,0,AE,AE,ID,-16_36,99,305,0.9892035105149859,0.9540694039877502,1.8972700132404465,6000.0,2227.36669921875,25.1500244140625,0.0,0.0
