state,protocol,train,group,variable,n,spearman,p_value
MN,band,A,terrain,hand,44,-0.10816529714160036,0.484622781193867
MN,band,A,terrain,water,44,0.03271534643968976,0.8330292434715645
MN,band,A,terrain,elev,44,-0.25877378435517967,0.08986276559756323
MN,band,AE,provenance,bfe,44,-0.09875934412053981,0.5236049188112964
MN,band,AE,provenance,panel_scale,44,0.19028145352574108,0.21601691721358324
MN,band,AE,terrain,hand,44,0.10821111371851204,0.48443668512037535
MN,band,AE,terrain,water,44,0.04950200259112396,0.7496492193276721
MN,band,AE,terrain,elev,44,0.3392529950669485,0.024269214655883987
MN,shadedX,A,provenance,bfe,26,-0.06295981773218658,0.7599489988168081
MN,shadedX,A,terrain,hand,27,0.27418335742199795,0.16636619341746253
MN,shadedX,A,terrain,water,27,-0.1578732626658416,0.4315937087980514
MN,shadedX,A,terrain,elev,27,0.5134310134310134,0.006161727927199412
MN,shadedX,AE,provenance,bfe,27,0.29038169292613253,0.14173905126724864
MN,shadedX,AE,provenance,panel_scale,27,0.09385845753924403,0.6414619908871912
MN,shadedX,AE,terrain,hand,27,0.03030779693474666,0.8807124388779647
MN,shadedX,AE,terrain,water,27,-0.24862950244450557,0.21110439797765163
MN,shadedX,AE,terrain,elev,27,0.03968253968253968,0.8442058063425565
MO,band,A,provenance,bfe,45,0.21719935281134475,0.15180337924658707
MO,band,A,terrain,hand,45,-0.10120243919204527,0.508301881329524
MO,band,A,terrain,water,45,-0.1247294156659086,0.4142940803264926
MO,band,A,terrain,elev,45,0.023188405797101446,0.8798214940589394
MO,band,AE,provenance,bfe,42,-0.37454402485269506,0.014535244884856538
MO,band,AE,provenance,panel_scale,45,0.2457666195210336,0.10366760117338777
MO,band,AE,terrain,hand,45,0.043021379134213424,0.7790134241511417
MO,band,AE,terrain,water,45,-0.09481058073065514,0.5355808653028538
MO,band,AE,terrain,elev,45,0.1555994729907773,0.30741851779707036
MO,shadedX,A,provenance,bfe,31,0.06575895944562615,0.7252392873003684
MO,shadedX,A,terrain,hand,31,0.09471891165259104,0.6122652484258589
MO,shadedX,A,terrain,water,31,-0.2104277407087608,0.25585409758585576
MO,shadedX,A,terrain,elev,31,0.24758064516129033,0.17932382982006176
MO,shadedX,AE,provenance,bfe,29,-0.11263095175501321,0.5607604047230867
MO,shadedX,AE,provenance,panel_scale,31,-0.07314284606522425,0.6957740924672763
MO,shadedX,AE,terrain,hand,31,0.09442968502024292,0.6133565832271106
MO,shadedX,AE,terrain,water,31,-0.5191323919319741,0.0027668718654947967
MO,shadedX,AE,terrain,elev,31,0.3491935483870968,0.05417501212252832
NC,band,A,provenance,bfe,13,-0.04689695322177003,0.879081602607434
NC,band,A,terrain,hand,14,0.4945054945054946,0.07224967403413254
NC,band,A,terrain,water,14,-0.14064216928154863,0.6315348080673535
NC,band,A,terrain,elev,14,0.3758241758241759,0.18541002869712306
NC,band,AE,provenance,bfe,13,0.5639620190777477,0.04469704026558176
NC,band,AE,terrain,hand,14,0.6,0.023308410879999995
NC,band,AE,terrain,water,14,-0.3317712711257045,0.24652351422666774
NC,band,AE,terrain,elev,14,0.5296703296703297,0.051416598137870716
NC,shadedX,A,provenance,bfe,8,-0.12049067317796996,0.7762570690924105
NC,shadedX,A,terrain,hand,9,0.25,0.5164895523012261
NC,shadedX,A,terrain,elev,9,0.21666666666666667,0.5755148957119259
NC,shadedX,AE,provenance,bfe,8,-0.07185757571479554,0.8657301238340008
NC,shadedX,AE,terrain,hand,9,0.08333333333333334,0.831214097710308
NC,shadedX,AE,terrain,water,9,-0.3195048252113469,0.4019685843578248
NC,shadedX,AE,terrain,elev,9,-0.45,0.22421610749233675
TX,band,A,provenance,bfe,53,-0.05899550521129497,0.6747643914373682
TX,band,A,terrain,hand,53,0.045400480040339516,0.7468424328915543
TX,band,A,terrain,water,53,-0.034810366075695154,0.8045558771824167
TX,band,A,terrain,elev,53,0.25850669246895663,0.06162446910606834
TX,band,AE,provenance,bfe,53,0.28730441888914304,0.0369845923938081
TX,band,AE,provenance,panel_scale,53,-0.1893110336472317,0.17457329008860262
TX,band,AE,terrain,hand,53,0.1973227971902204,0.15670378344023755
TX,band,AE,terrain,water,53,-0.10020691394174559,0.47527553171864173
TX,band,AE,terrain,elev,53,0.10111272375423318,0.4712735765569849
TX,shadedX,A,provenance,bfe,28,0.02217659324587903,0.9108147805035167
TX,shadedX,A,terrain,hand,28,-0.14919245015618351,0.4486214867162153
TX,shadedX,A,terrain,water,28,0.04559729042459121,0.8177830119194419
TX,shadedX,A,terrain,elev,28,0.17515051997810618,0.3726752055704331
TX,shadedX,AE,provenance,bfe,28,0.26653895280457773,0.17036205595159182
TX,shadedX,AE,terrain,hand,28,0.2830915236387123,0.1443622050806324
TX,shadedX,AE,terrain,water,28,-0.10152049008697328,0.6072272554675007
TX,shadedX,AE,terrain,elev,28,0.270935960591133,0.16315502113222796
VT,band,A,provenance,bfe,13,0.011096223391151676,0.9713004872360768
VT,band,A,terrain,hand,13,0.04395604395604395,0.8866190227890784
VT,band,A,terrain,elev,13,0.027472527472527472,0.929011729160351
VT,band,AE,provenance,bfe,13,0.02216143007003597,0.942712822429673
VT,band,AE,provenance,panel_scale,13,-0.4717281765248633,0.10364574410103958
VT,band,AE,terrain,hand,13,0.10729033533674225,0.727185562647901
VT,band,AE,terrain,water,13,-0.10482848367219183,0.7332380307091058
VT,band,AE,terrain,elev,13,0.13186813186813187,0.6676075762175147
VT,shadedX,A,provenance,bfe,11,-0.4147861841836522,0.20462874510762508
VT,shadedX,A,terrain,hand,11,0.14545454545454548,0.6695786456420787
VT,shadedX,A,terrain,water,11,0.24271195048676716,0.47207245881681204
VT,shadedX,A,terrain,elev,11,0.02727272727272728,0.9365584481926121
VT,shadedX,AE,provenance,bfe,11,0.46225345561352416,0.1522856369667585
VT,shadedX,AE,terrain,hand,11,0.10000000000000002,0.7698749998921367
VT,shadedX,AE,terrain,water,11,-0.032644765748163995,0.9240905674367054
VT,shadedX,AE,terrain,elev,11,0.4090909090909091,0.211545010342096
