state,protocol,train,group,variable,n,spearman,p_value
FL,band,AE,terrain,elev,51,0.09357466063348414,0.513675522013746
FL,shadedX,A,provenance,bfe,44,0.19944306903078032,0.19430270670703678
FL,shadedX,A,provenance,panel_scale,46,0.07561731762885693,0.6174529121198212
FL,shadedX,A,terrain,hand,46,-0.23405637911458366,0.11744340369672716
FL,shadedX,A,terrain,imperv,46,0.16452780612487986,0.274552328484223
FL,shadedX,A,terrain,water,46,0.11961993018218453,0.42846355772159433
FL,shadedX,A,terrain,elev,46,-0.08085106382978723,0.5932424277552871
FL,shadedX,AE,provenance,bfe,44,-0.06775240312889247,0.662123444220721
FL,shadedX,AE,provenance,panel_scale,46,-0.06583982260521869,0.6637581158023041
FL,shadedX,AE,terrain,hand,46,0.2735491507025967,0.06584136668409062
FL,shadedX,AE,terrain,water,46,-0.13195297132448996,0.3820364269943717
FL,shadedX,AE,terrain,elev,46,0.0873882207832254,0.5636077861761193
IA,band,A,provenance,bfe,43,-0.006948115879566606,0.9647292330537283
IA,band,A,provenance,panel_scale,43,-0.015317851716974801,0.92233596065302
IA,band,A,terrain,hand,43,0.13972282501681935,0.371525235357307
IA,band,A,terrain,water,43,0.0673731627984352,0.6677301751889343
IA,band,A,terrain,elev,43,-0.09030504379341588,0.5646834454677052
IA,band,AE,provenance,bfe,43,0.03043576847244937,0.8463760283812323
IA,band,AE,provenance,panel_scale,43,0.022703601888452694,0.8850985467943503
IA,band,AE,terrain,hand,43,0.1321196691075715,0.3983629544537759
IA,band,AE,terrain,water,43,-0.18628768262415307,0.2316660529820577
IA,band,AE,terrain,elev,43,0.023406825732407127,0.8815644807277337
IA,shadedX,A,provenance,bfe,39,0.0246026132640526,0.8818165792282545
IA,shadedX,A,provenance,panel_scale,39,0.36374278950115296,0.022830147672777922
IA,shadedX,A,terrain,hand,39,0.20969465302972654,0.20011058213844357
IA,shadedX,A,terrain,water,39,-0.33146911191312217,0.03926909287898773
IA,shadedX,A,terrain,elev,39,0.2194331983805668,0.1795310910117524
IA,shadedX,AE,provenance,bfe,39,-0.06985927223126046,0.6725917224064933
IA,shadedX,AE,provenance,panel_scale,39,-0.2813545713567674,0.08271661182784011
IA,shadedX,AE,terrain,hand,39,-0.3532874755094251,0.027371045414092784
IA,shadedX,AE,terrain,water,39,0.23264255339103668,0.15409257303723317
IA,shadedX,AE,terrain,elev,39,-0.08157894736842106,0.6215116383569395
LA,band,A,provenance,bfe,35,0.03433777997999936,0.8447471946414125
LA,band,A,terrain,hand,35,-0.032938547877088165,0.8510014393335847
LA,band,A,terrain,water,35,-0.14123629235583093,0.41834930414712945
LA,band,A,terrain,elev,35,0.009243697478991597,0.9579698007240435
LA,band,AE,provenance,bfe,35,-0.07512265334399859,0.6679974506212912
LA,band,AE,terrain,hand,35,-0.2510683166269472,0.14572006267320656
