cell,tag,split,graph,knn,frac,k,mu,method,n_sel_models,n_rep_models,r_full,r,p,rho,r_train,r_val,purity,P_hard,n_cc,largest_cc_frac,tiles,blocks,moran_I,jaccard_vs_smallest
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,trees->others,knn,10,0.05,470,0.0,random,188,112,0.6513587556373606,0.5144589879612468,6.535960500116636e-09,0.4420336898213005,,,0.04649036594749987,1.1351063829787233,352,0.00851063829787234,23,196,-0.0041870346964258875,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,trees->others,knn,10,0.05,470,0.1,oodselect,188,112,0.6513587556373606,-0.7113333835395392,1.5124829893761071e-18,-0.6747873031058872,-0.9520863698916258,,0.3285508967497967,0.7991489361702128,120,0.07659574468085106,18,96,0.29374338644922027,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,trees->others,knn,10,0.05,470,0.1,nullsel,188,112,0.6513587556373606,0.43382472002713435,1.766628825698545e-06,0.4037311647931117,,,0.27563500485747044,0.853404255319149,147,0.18085106382978725,22,117,0.23285661281588146,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,trees->others,knn,10,0.05,470,0.1,hard,188,112,0.6513587556373606,-0.2608639089654843,0.005469051710446854,-0.23942494960194077,,,0.4794317667800146,0.6076595744680852,110,0.13404255319148936,21,103,0.45209930461325304,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,trees->others,knn,10,0.05,470,0.1,random,188,112,0.6513587556373606,0.5144589879612468,6.535960500116636e-09,0.4420336898213005,,,0.04649036594749987,1.1351063829787233,352,0.00851063829787234,23,196,-0.0041870346964258875,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,trees->others,knn,10,0.05,470,0.3,oodselect,188,112,0.6513587556373606,-0.7131983396908269,1.121472152124836e-18,-0.6788362319335771,-0.9519872047811438,,0.34803093407335545,0.7751063829787234,113,0.08297872340425531,17,92,0.314227046153934,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,trees->others,knn,10,0.05,470,0.3,nullsel,188,112,0.6513587556373606,0.435866478336115,1.5594261812040994e-06,0.4182526394915776,,,0.3009979809510473,0.8208510638297872,145,0.1829787234042553,22,112,0.25817292674695036,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,trees->others,knn,10,0.05,470,0.3,hard,188,112,0.6513587556373606,-0.2608639089654843,0.005469051710446854,-0.23942494960194077,,,0.4794317667800146,0.6076595744680852,110,0.13404255319148936,21,103,0.45209930461325304,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,trees->others,knn,10,0.05,470,0.3,random,188,112,0.6513587556373606,0.5144589879612468,6.535960500116636e-09,0.4420336898213005,,,0.04649036594749987,1.1351063829787233,352,0.00851063829787234,23,196,-0.0041870346964258875,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,trees->others,knn,10,0.05,470,1.0,oodselect,188,112,0.6513587556373606,-0.6950773751514785,1.862184608279222e-17,-0.6662708852974341,-0.9512189199446727,,0.46787288568314184,0.6268085106382979,97,0.11914893617021277,17,88,0.44360493114160965,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,trees->others,knn,10,0.05,470,1.0,nullsel,188,112,0.6513587556373606,0.5658803959740412,7.941287585213691e-11,0.5369528820856254,,,0.39101730611899577,0.7142553191489361,108,0.2170212765957447,20,93,0.35496618007026975,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,trees->others,knn,10,0.05,470,1.0,hard,188,112,0.6513587556373606,-0.2608639089654843,0.005469051710446854,-0.23942494960194077,,,0.4794317667800146,0.6076595744680852,110,0.13404255319148936,21,103,0.45209930461325304,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,trees->others,knn,10,0.05,470,1.0,random,188,112,0.6513587556373606,0.5144589879612468,6.535960500116636e-09,0.4420336898213005,,,0.04649036594749987,1.1351063829787233,352,0.00851063829787234,23,196,-0.0041870346964258875,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,trees->others,knn,10,0.05,470,3.0,oodselect,188,112,0.6513587556373606,-0.6456642753469148,1.519052564485697e-14,-0.6265845491509208,-0.9375852732331688,,0.6368212065181962,0.42404255319148937,45,0.14042553191489363,13,55,0.6141759140118329,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,trees->others,knn,10,0.05,470,3.0,nullsel,188,112,0.6513587556373606,0.6198870122917006,3.1535046340418407e-13,0.5992329244541634,,,0.5653200710976878,0.5114893617021277,62,0.2531914893617021,15,67,0.5425307239237245,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,trees->others,knn,10,0.05,470,3.0,hard,188,112,0.6513587556373606,-0.2608639089654843,0.005469051710446854,-0.23942494960194077,,,0.4794317667800146,0.6076595744680852,110,0.13404255319148936,21,103,0.45209930461325304,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,trees->others,knn,10,0.05,470,3.0,random,188,112,0.6513587556373606,0.5144589879612468,6.535960500116636e-09,0.4420336898213005,,,0.04649036594749987,1.1351063829787233,352,0.00851063829787234,23,196,-0.0041870346964258875,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,trees->others,knn,10,0.05,470,10.0,oodselect,188,112,0.6513587556373606,-0.5785265277854772,2.3809601173960437e-11,-0.5686011548843407,-0.8934752442908508,,0.7915877563890705,0.24382978723404256,19,0.17659574468085107,10,44,0.7732318738169388,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,trees->others,knn,10,0.05,470,10.0,nullsel,188,112,0.6513587556373606,0.6833736034218566,1.0263557946207494e-16,0.6453685037755835,,,0.7532293368917273,0.2917021276595745,21,0.33617021276595743,10,35,0.7428194172068721,
